id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid0ULRevxqfNWf1b6onnChz2oK3TbwZ99zf2pca2cVeQAiHKeGiyAGHGnJ9CXc9nS8fl,Goodlato Handcrafted Low Calorie Gelato,0,1,0,0,0,0,0,0,1,0,"Goodlato launches our new product, ""Ugly Sorbets"" on 21st August, 11.30am - 2.30pm at @treatsure pop up at their concept store! Now listen! Approximately 20% of produce or more gets thrown out for cosmetic reasons like weird shapes, odd colors, or blemishes. To fight against unnecessary food waste, we partnered with treatsure to source these ""ugly"" berries to turn into tasty and refreshing sorbets, in Goodlato style. Because not only are we committed to sustainability, we are also committed to making our products low in calorie and low sugar for a health-driven cause, and this will always be in Goodlato's DNA. See you at the pop up event! Find out more about this event on @treatsure #treatsuresg #goodlato #lowcalorie #sustainable #produce #sustainablesg",2023-08-20T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/366995278_258121540370182_6516719113235857139_n.jpg?stp=dst-jpg_p480x480&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ndHWlgRdJ-oAX_2QrYw&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCC95VBjVJddESzmcg8iVQhshJFJjbVv8J1t2woNjdw4w&oe=6539136B https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/366945398_258121920370144_7874188921659633489_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=nJEJGwrCIo0AX_Kta1a&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAQXgbCEck2UBjdmm2NUpnsoARAntxbnyY5RPt6xK4iMg&oe=653A7CCB,https://www.facebook.com/permalink.php?story_fbid=pfbid0ULRevxqfNWf1b6onnChz2oK3TbwZ99zf2pca2cVeQAiHKeGiyAGHGnJ9CXc9nS8fl&id=100085170145656&__cft__[0]=AZVjzi6qeIqJ6n4Z8M0Ux4si_o2Bk7I5GKp0C0PQo_LCfqT5G0fksTSuMEtlbZCMqNdexIccmgOWUKAVoA5ocux6eTRYe8G7ykiTODmZtoUkL51sDm_NbZOOnbCZuT7rffVie4bMQ2GRMX5LFx-K_-Igatcc9Pi2MezuqTiM17oUctA1IZl4yQ_ILKI5sEGgACuYbRS7E7uosxeszp7QFk_Gi-XYJU9sN-Qq41f2yyOOQQ&__tn__=%2CO%2CP-R
pfbid0vVFAhpMTVocGjsXN9PvRAnNnDNCkaKEvPdYVBGxVQGZEWpFQUQU4bwUhVeMYmPrVl,Goodlato Handcrafted Low Calorie Gelato,0,0,0,0,0,0,0,0,0,0,Goodlato’s nice cream on our lower fat waffle for sale now at our cafe  who’s excited?,2023-07-16T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/356441063_239848912197445_6765182142929817663_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=e6E5SkqTdToAX9aJkmI&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCAe3fyw1pMRncqENSpzSEW8xB6-hFu5lIyS50n07YrLw&oe=6539E34B,https://www.facebook.com/permalink.php?story_fbid=pfbid0vVFAhpMTVocGjsXN9PvRAnNnDNCkaKEvPdYVBGxVQGZEWpFQUQU4bwUhVeMYmPrVl&id=100085170145656&__cft__[0]=AZWBQgyzOaz6VIwxVtSAepyFYtQjQi1kqUE0NeHLrXKfwDeuT_kgsDMZ7-0S8pdVua6G-D70kln-uQEXSPArYYdxGeICiu5nd4dIJ6xL7q30OGqDJ3ZdxoLxVDLPXrNWEMhgtU7wMa6MzMrDB6RLWdC34N3AF0cE28Zh6WDlBndw0x1ychFnnCCzbz7tQzqMoz37MalIF6jSA74h7Qv--JjQ1PlojfTfLSOVloInsecXPg&__tn__=%2CO%2CP-R
pfbid03ygeQVEBpirU9cSd21bGGLYoqmyEKZ71tERHVVq5LmPrNecQbLj32K8nYVgSS9Wfl,Goodlato Handcrafted Low Calorie Gelato,0,0,0,0,0,0,0,0,0,0,Goodlato’s nice cream on our lower fat waffle for sale now at our cafe who’s excited?,2023-07-16T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/361311230_239846362197700_4553972246345876465_n.jpg?stp=dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=R3I6NQAaXgIAX9E36-Q&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCQXarck3G5aTRivR0KYPZZg5yUPqC7DoGhXqjqHUCmuQ&oe=65393F27,https://www.facebook.com/permalink.php?story_fbid=pfbid03ygeQVEBpirU9cSd21bGGLYoqmyEKZ71tERHVVq5LmPrNecQbLj32K8nYVgSS9Wfl&id=100085170145656&__cft__[0]=AZVvL-BWKg7k1tQ0b-qS2d_m_KItj04_jqi1os_xQZgavntwVS3ZWZWcRrKkB2zfOzgyRTebOZBwfFHqmerls2b5sLx98a6oOe-8v6MsL_ddHNm1BhbnW9QHWXGftN_Nw6Wbe30Et6p9fik0no4JWhbOKJirTxAN7xsWFR_AoWzMhFbXa1WQSuPQ68s0xP96Dlq3V-mKcanmSMjZ8I5Xqq41ePujJ3h7uh60I2kEU6bAOA&__tn__=%2CO%2CP-R
pfbid0etL6nWcu2d41GKYEfp2dHY5Ai7WDw5syV7P1W8pr3KXkSQ2X59biF2De8bdZZiUkl,Goodlato Handcrafted Low Calorie Gelato,0,1,0,0,0,0,0,0,1,0,"Sorry to suddenly drop the bomb on you guys… btw, Lip’s Taproom Hambaobao is just above our new location ",2023-07-11T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/359370437_237003989148604_7281099422483879715_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=5lf5fCjX5cIAX-802UJ&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBeKSEN7ciEsF-hkHnqF30ovZBKZwtoTvqkQ-3G2-eexw&oe=6539ABB5,https://www.facebook.com/permalink.php?story_fbid=pfbid0etL6nWcu2d41GKYEfp2dHY5Ai7WDw5syV7P1W8pr3KXkSQ2X59biF2De8bdZZiUkl&id=100085170145656&__cft__[0]=AZUSKlGlDi687k7qTOvrZltkMfgg-SSv29cYHV6jGUgSo2p-nBzrlj9PBXzubYEiLSx5Vfe2chM8w1XnCeWTv466JzzGmzgZQOT1cskuSHB-Tu6ym0PZmXURkQyxdnuYN5Lrv8xH53iicC8IAL1XLZ8mhqSSQhLp0ZI3h5UiHgwTy2bny9wlydLVnNymsJuUdAmRmM__Udy0uEmTJvcohqkByuh0O0nkqG4qaeiYflSLeQ&__tn__=%2CO%2CP-R
pfbid02MewvhunDvgCbh6MPB827p6XHDXkow57FMskT66TpG654w82LsDgM7hBemrgTNxKtl,Goodlato Handcrafted Low Calorie Gelato,0,0,0,0,0,0,0,0,0,0,"Sorry to suddenly drop the bomb on you guys… btw, Lip’s Taproom Hambaobao is just above our new location ",2023-07-11T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/358704968_237003735815296_3362326501719387395_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=AVKqUhdaAcIAX_1mw9R&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDRUnGMHq5vHydMipmz1Y4eOX1Y214yIUJp5bLv5QY1pw&oe=6539D11A,https://www.facebook.com/permalink.php?story_fbid=pfbid02MewvhunDvgCbh6MPB827p6XHDXkow57FMskT66TpG654w82LsDgM7hBemrgTNxKtl&id=100085170145656&__cft__[0]=AZXlSAPGWiJsKh5xg472b2Cs3TV9mXe5Z-rnUPOOEw46iFMn5JAfxunNULRYSs1MjuDjg7P0FIgcnkVhCDdHI5jiPzgBh92-BbUUEpqkHtd6Ve_hzSalme_ZejbqftSediLrgAxINMJjq7MEiEr58lCaKpVE5uaynZgIp6VCTbcZApx4_mtxm6gkijGL2UPjWfcZNoaCNBOty8c0LZF-130pYSzmhYwyVW8ub3z8Jnv-oA&__tn__=%2CO%2CP-R
pfbid0Nn9Vi8FqbKBz6AcmJdjSbKL5K4GS7PziN3hSoamFDFH4rhRfmVb7P6bg4aNeLG4Wl,Goodlato Handcrafted Low Calorie Gelato,0,0,0,0,0,0,0,0,0,0,,2023-07-07T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/358428697_234367749412228_2391316355523510065_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Bk3pzxVo3AUAX8zq5Tb&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBvfl0OMlVM6a-ePM_QB4vvwSj1sEMqKAN38UNmL4Dc_A&oe=65399EE7,https://www.facebook.com/permalink.php?story_fbid=pfbid0Nn9Vi8FqbKBz6AcmJdjSbKL5K4GS7PziN3hSoamFDFH4rhRfmVb7P6bg4aNeLG4Wl&id=100085170145656&__cft__[0]=AZWeZoZrp_GgM2FeYJAbWKiQ-4kPAYurP2AScYBzj2pqbIpFtcPOCCx4QBO1qJEZc92p8uJfCMC1WRKyxfIUihzaanDsEEFLyBQsnH8mFt5qwbV27WlHHTPKpQYw003E4hjElSHYZfDG419hELnycInrLRAiJxhXbRG71MLbMk8uZTKYZ-IoaVSKDrSgBdckE84VZpYBq9PngEhkTS3DSrNO&__tn__=%2CO%2CP-R
pfbid07Wzv5W8VA4HTeKVLdXUALf6XdeDHtJnpsHdWy53jkcDLjR8z2FvDBvBLTuMEvDSdl,Goodlato Handcrafted Low Calorie Gelato,0,0,0,0,0,0,0,0,0,0,"All good things come to an end and so have Goodlato’s stint at Havelock II, I have decided not to renew the lease despite it being a great place for starting out my business and the amazing customers I’ve came to know during my time there. We will be closed until further notice, but meanwhile we’re still available on Shopee and Lazada! Bear with us, and till next time ",2023-07-05T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/357421491_233281356187534_2485462632392250908_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=1FFSguAJPdoAX_N_YwP&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBgnWIOoix8nZB1MmiabH4aLemR28aL6WCn84lzA2E6xA&oe=6539EBE8,https://www.facebook.com/permalink.php?story_fbid=pfbid07Wzv5W8VA4HTeKVLdXUALf6XdeDHtJnpsHdWy53jkcDLjR8z2FvDBvBLTuMEvDSdl&id=100085170145656&__cft__[0]=AZVlNAu-tHFPIFErhcVHNieZt2cQeJy2p2DO9NOfxO8mHgpVQjRoDdmULOcfj4vGiuim5_mnIPXO_WqjtMrPA2MsXeJnFpgZ5mmVeWGhFl0shz_1pTuioNFy0ncLTlqPAaZWiVx2yggfCDKZHh-SMLRA9HLJRgB_9mC-DeIGVurUl7JoFFr8YrUZiH9_de4F_tuS8Nu8sr-gZpn_9I-eMTP-DoLQQZa9IVg7Cg0ray_uRg&__tn__=%2CO%2CP-R
pfbid0jDWjEeWYGyenadtqgnVEqh77f4kNFu1PEnzd4R1VaGhFanNpWoHTqbijYqJztQ71l,Goodlato Handcrafted Low Calorie Gelato,0,0,0,0,0,0,0,0,0,0,We’ll be closed on 2nd June (Vesak Day).,2023-06-01T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/350491836_215147201369604_3272260587926969109_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zdNSQVtq8y8AX-7X3sQ&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAXDBB_jxpViShoGZ43YfnSGWHhmouMXKo9nwGOhs5mlA&oe=653A4730,https://www.facebook.com/permalink.php?story_fbid=pfbid0jDWjEeWYGyenadtqgnVEqh77f4kNFu1PEnzd4R1VaGhFanNpWoHTqbijYqJztQ71l&id=100085170145656&__cft__[0]=AZW50WQpgKhBC1rwzSLzsx289HJnbmL5mfpyz___lweVgGxuAfM5Toi_AszVSBVCv9p1lGU_rxJUtITZS-cVkT57ub7xcBUU61lXte4GanXt6qqb7mtl4Q8OSSli2Ma1OqWgbgwSzwBA1XehLxLDDyOsV0MESrqO9Hktcgon8vzUuvWpJ8X3zbzD6RNkY5nu2wsTPcoMfD8XDpQ0dZkNRJTt&__tn__=%2CO%2CP-R
638669374965983,Goodlato Handcrafted Low Calorie Gelato,0,1,0,0,0,0,0,0,1,0,,2023-06-01T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/346793103_192843936543873_5650728457180576474_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=w_k5sjpDbT8AX-4Zb2w&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBX67zOTacENI2jLqIaIw61642yccTkXptpQ4Oy47VWyw&oe=653961B4,https://www.facebook.com/permalink.php?story_fbid=638669374965983&id=100085170145656&substory_index=638669374965983&__cft__[0]=AZWAp1mMYt-VWJbbmVSqwpkzzVld2MGfwUv08pJrsdCqj_lEi_8g3k8QFmVBX2UUdDF2VNntKSG8_p0QGbhPHBEJkaGvqjLdE_Nv2pOAKkCW7chlrgjww_OG1189bG8lBdnCevI2s63Din42AsnOXB-rB8KzU4HP9o-f6J-AxNwrBoSwGssX6RjRef-SGD5-i4fE9N35RhthDZfqdmaDqKwC&__tn__=%2CO%2CP-R
pfbid0qwHSTyABdVsXJFWjG837258QbM7ab7aY1FUDGfxAsVLjd22uPWGGjkmdZWANrTHUl,Goodlato Handcrafted Low Calorie Gelato,0,0,0,0,0,0,0,0,0,0,"From May 16th, make your own healthy ice-cream bowl at Goodlato. Options for toppings include Granola, Cocoa Nibs, Mixed Fruits and many more! Made using our low-calorie, low sugar and low fat in-house ice cream, you can beat the heat with this sweet treat without the guilt!For the health conscious peeps, the calories range from ~80kcal for our S bowl (1 base, 1 Topping), ~150kcal for our M bowl (2 bases, 2 Toppings), and ~250kcal for our L bowl 3 bases, 3 Toppings). In celebration of this new menu launch, we’ll be having 50% off our L bowl from 16th to 30th May, in-store only!",2023-05-13T00:00:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/346793103_192843936543873_5650728457180576474_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=w_k5sjpDbT8AX-4Zb2w&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBX67zOTacENI2jLqIaIw61642yccTkXptpQ4Oy47VWyw&oe=653961B4 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/346804364_2470030686531516_4897798978607228311_n.jpg?stp=dst-jpg_p180x540&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=KZYRe8xFYMIAX9EM9RQ&_nc_ht=scontent.fsin16-1.fna&oh=00_AfANiJMqBWDOMy3olwE124VGE7FuT976B68ZxOxPpTsWuA&oe=653A67CC https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/346810550_1274191773185867_1138236053740055995_n.jpg?stp=dst-jpg_p180x540&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QpdSClcawoAAX82EWnR&_nc_ht=scontent.fsin16-1.fna&oh=00_AfD55XWTZWoSsT6SHkPJBU1q2xx8khkvWYM-00et8YRPsw&oe=653A2A68,https://www.facebook.com/permalink.php?story_fbid=pfbid0qwHSTyABdVsXJFWjG837258QbM7ab7aY1FUDGfxAsVLjd22uPWGGjkmdZWANrTHUl&id=100085170145656&__cft__[0]=AZX1qoCIei84kEMYUKPLSGjD2Yc23_vm0oY-H_6KXiYAxOBiY8llkV7wonNaYkrZs4A7XbxLYyAQrA44VmUBMUXRnHCpyX0k6hH1t8MZVi2VJeoh8vudJhCNrvTM_IVGB6-UZZZ4U8gW8PxwVCaqeZTkevuIJ9K2X1_NAAnXp4J-_u4lUZCc6rICjkox0mW9QuCjqPTaB3W-0Knwu4fYRKPv4A2O3xTeXybOIyXs7BE_LA&__tn__=%2CO%2CP-R
