id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,content,posted_on,video,image,post_url
pfbid02dT14EerhFXvjXcgDVFtYbDpsnoAuGA2jc3dfgSraXW1hfUq8cJQJuYHSAgLfTawgl,Gelato Messina,2,131,32,0,0,0,0,0,163,68,CARAMEL ON CARAMEL ON CARAMEL - Light caramel gelato with caramel fudge and caramel cookies. no such thing as too much of a good thing.,2023-10-21T13:18:08.438571,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394275771_727930709375853_1839479553040710248_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=XS_9UWCENgEAX8qUeUM&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAyg-qH_BEitGVvFTPoElMqOWmtt6KGIt0-UX-2oseFVw&oe=6538FB16,https://www.facebook.com/gelatomessina/posts/pfbid02dT14EerhFXvjXcgDVFtYbDpsnoAuGA2jc3dfgSraXW1hfUq8cJQJuYHSAgLfTawgl?__cft__[0]=AZXY-sJJUPZ1RhlSo4qS4b_yTR0iw1fG3FZYDXSpTKYIkkL9X0hwYxMXUBcqHxhpLG0Slc6oVBhpvhRFctB8G9rgQID53DXp4NWfUZZz3WeQJPX4wKu2-4ARJmXMPju5cerUC7YDxN6Ob6X-lD7JSQNtj2eyASP8KDlMgfaNyN0G6yvpnsEjQO5WEyD-9U0W8LDNoSVzCd6IWa0cRgLyKnrk&__tn__=%2CO%2CP-R
pfbid0VHo61iVQ4Gcb7ALhP6TuLbhCwPDSu34443BcyFeo8di3pCg7HUi4WjTytgVgK83Kl,Gelato Messina,2,183,27,0,0,0,0,0,210,107,CHOC HAZELNUT CRUNCH - Gianduia gelato with hazelnut topping and cone crunch. a little bit like a ferrero rocher ,2023-10-21T11:18:14.819698,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394220120_727930376042553_5670875055254526557_n.jpg?stp=dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jXp_4aNaCE8AX_HPBuF&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDbpVNj4l-QtR7ZkxvGp6i-s7Qw-xV6WyJBSOV47FuFDA&oe=6539D6BB,https://www.facebook.com/gelatomessina/posts/pfbid0VHo61iVQ4Gcb7ALhP6TuLbhCwPDSu34443BcyFeo8di3pCg7HUi4WjTytgVgK83Kl?__cft__[0]=AZVoSO26Vn3sT6r5oym3pGisxgTVP8H1vgjUrDvP6hDvl9o5l72at341V6YGk33VQDwd2K2Q7jJbg-Y2Fn2AwkQmJePTq_JN0WLdGPMEMRRgpmqVyzYIcq3HSkTFVnUTc8mUw0ncdMWSruvvXYBwZJ9SMNRHRz-MNSCMBamhEnHMAid7VM4_QEA3FtPdMQHy1C1zg7EP_SXNZ-x1SCVJ_B1D&__tn__=%2CO%2CP-R
NA,Gelato Messina,0,5,0,0,0,0,0,0,5,0,,2023-10-20T11:18:15.025389,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394296662_728506089318315_3548608875351307003_n.jpg?stp=c0.25.524.274a_dst-jpg_p235x350&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=um_souF1LQ0AX9IrlL5&_nc_oc=AQl-0KGcf2OOZTLlQuYDbbTTBTnJjRr8z23T9r4urnpJC-kGsYYi3yivSLyoWhTxyErhwCqt69-j3RPniRQaZoEX&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAqAm28ln-8-uQFuZP9La4SK9iZhw5o5o0tIaAGue1mpQ&oe=653A099C,https://www.facebook.com/events/1363441754258926/?__cft__[0]=AZXsz6pG_832UoEzcZCAoVyHU0SD-OBZ_V2Sz24IIdmRY1Q13I9D8WsQMEqFg27hzh1S-ihrRcOE1_Jh2CxuBhpMoN-9Fzt6L852xkpKPk5sqlqb9O_uj50yXjC5MvUv4X0hVVzqcMIyXqTpIni6M271AD1c9phREVsPUNBxgQbQCTtpgahofqvsldy6u5yq6xTgePboOOZdzX-ozUOW7PcN&__tn__=%2CO%2CP-R
pfbid02QQipKBKQHgyDR6Qu1VYWtaFpbirm9P9xfsSq2njRcaPXq5rKNNeaKrZzJX862rocl,Gelato Messina,5,81,19,0,0,0,0,0,100,64,"MESSINA EATS HUGO'S DELI - 17 & 18 NOVEMBER - @ MESSINA HQ MARRICKVILLE.if you've been living under a rock and haven't seen hugo's steak frits all over instagram like we have it's a crunchy baguette, charred porterhouse steak, café de paris butter, hugo’s steak sauce, fried capers, frites, comté cheese. it's legit fucked up how good it is, seriously.+ they'll have their brekkie muffin AND their fried chicken sandosee you there ",2023-10-20T11:18:15.185910,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393689188_727960519372872_1257127136620197056_n.jpg?stp=dst-jpg_p480x480&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=cife6lA0gRIAX9y_kpn&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDZg6FKdfspXg34XUt7uiVTVu9WjB-l-bgwFibiUJpjkA&oe=653A378B https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394256936_727960529372871_717684089387018066_n.jpg?stp=dst-jpg_p480x480&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=34fv5_pPi1wAX-nrgyc&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCLQZeoSqDBYXXQX-MrPzMUzsz4NAq6YTHBPb0chuH17A&oe=653A23B7 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394193546_727960479372876_6971971005162185223_n.jpg?stp=dst-jpg_p480x480&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=J3d1KxZ018IAX-K__UW&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDzDubsARmRO9k-ML0WVjFijSW2C5A84TCU8s1u88hJhQ&oe=653A79DB https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394060508_727960476039543_6653185485788855993_n.jpg?stp=dst-jpg_p480x480&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=N8Zlt7epVYIAX-QMaWk&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDKDUD1WS5D8xe4vA5tF1Pdh_i9vi-U9CEV6kL7p1ZV5g&oe=65391DBA https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394194231_727960552706202_5185118788118949291_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=YoMOP459ayAAX8V1FWi&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAczTdkBO4fUjAcMBqvJ2UfhWqlemJj0Fmu9PrEecxD0Q&oe=653A4AB6,https://www.facebook.com/gelatomessina/posts/pfbid02QQipKBKQHgyDR6Qu1VYWtaFpbirm9P9xfsSq2njRcaPXq5rKNNeaKrZzJX862rocl?__cft__[0]=AZUDaWAaenFTmeWp2gGcx33kk_k8s-DZm74neB1yB0WDxhXTwe9-NWwmL0IGYCTjuXUyZBmefLD-Nz6NyXy0wXFRQKGP8nSfPI7B1Ykicxqw_Ofcm4dYPSn5PGJ5wGpJhKkopTv7F-AMHRv_ul2dWuNDEZJdcSPK5rPIYyGFbM3VmvxWibGrxD6mzrf3jg5QAgswnMcHInUlYFWPmh6jI7yq&__tn__=%2CO%2CP-R
pfbid02PZMniopNWQ5HEq6Q9ZhW9tP8Thv1tazXZpfbf1oQk7PYa3juYVv8UrB4X2m2t9NMl,Gelato Messina,1,101,19,0,0,0,0,0,120,38,PANNA E CAFE - Fior di latte gelato with coffee fudge. good excuse for morning gelato if you ask me,2023-10-20T11:18:15.362029,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/394247110_727929132709344_474032459740664479_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-GD2q5ThbeYAX99y7Tz&_nc_ht=scontent.fsin16-1.fna&oh=00_AfCuQmSd0OUWRyU5w2yyk0rLNtyhg1VbTm89FKdvmSqLOA&oe=6539252F https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/gelatomessina/posts/pfbid02PZMniopNWQ5HEq6Q9ZhW9tP8Thv1tazXZpfbf1oQk7PYa3juYVv8UrB4X2m2t9NMl?__cft__[0]=AZXk_34vFuETsqROJDVjMUG_4tBMQaIeyKgtdhmu5tsZEH9YuEKlPREW51XeG_LEvPSPUxm9lEBat7Zl-1DRQinAPEXFOAc0OdIFEltYW-24qMMy71_b0P0ZpsSp-E-JK152xg1TxxogLITwGVlEzWgi-XqL9uJzVWNQ1Ejn5_dOJPp1IopMNfxcW0KCJaNh09MzBmlCQ5GLnkMA3NMUVayGI-4Xwi6ZR04keO59if7R4g&__tn__=%2CO%2CP-R
pfbid037kRsnkXLeLjPMQskd4uHe3tgagxiYaB4hJBRfi9Syx3mMroEBH4sXq6J4s7qLgSpl,Gelato Messina,1,75,15,0,0,0,0,0,90,44,PURE DEAD BRILLIANT - Whiskey gelato with raspberry puree and toasted oat crumble. our take on a cranachan ,2023-10-19T11:18:21.750961,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393643713_727313976104193_3697245438175403131_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3mAxRzH5LQsAX8JyJk_&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAkDH_Ja2KhYZkTcUI8Aty09EDKg8p8MCYumdtzmE_4KQ&oe=6539292A,https://www.facebook.com/gelatomessina/posts/pfbid037kRsnkXLeLjPMQskd4uHe3tgagxiYaB4hJBRfi9Syx3mMroEBH4sXq6J4s7qLgSpl?__cft__[0]=AZXbIA6GgCmfTUs0KgDpuQxtlTNHS4GH7IQGDMjSaQKO-JhEGTQVkwST_ZDSLBk5fd6v3rNQLs2jY5NwYvreTYjIXXThKZRPGJHl3mq8ssZxxAcDz0qFTIbhkso-_f8L2O3q9jI2S3XqaKkr5gQahUsihR2iYzGhlxkW9n5UtX5--_CYw4mKHhFU98AkmzTKdM5rurKEq2Fd-XPZ1xsUK2Bj8pUvchLLnb-qGSDZu490pA&__tn__=%2CO%2CP-R
pfbid02rD7qW8hLouLFNQzaJPDtCsTWZmmNENAzCXoodejs7PdprQkSESrp9iYPCV13wAPfl,Gelato Messina,8,135,33,0,0,0,0,0,168,72,"A PALLECON OF ORANGES - Roasted orange gelato with orange cake and dark chocolate fudge. when life gives you a lots of oranges, make a gelato flavour with lots of orange components ",2023-10-18T11:18:21.868724,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/393211342_725953756240215_3617612898738419265_n.jpg?stp=dst-jpg_p526x296&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3SQAWrqmQFMAX-kwqBO&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAk6eGsob83zxwLsz6Fa_EizbrnPAIne7rvg37tAM66_g&oe=653A1C68 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/gelatomessina/posts/pfbid02rD7qW8hLouLFNQzaJPDtCsTWZmmNENAzCXoodejs7PdprQkSESrp9iYPCV13wAPfl?__cft__[0]=AZWnAK8m3Fc_lucOn-fZbXC7Fb_x_63mioPRXuNQdCKGURJKV-vHCMVadE1EzUf7TseMSq6dei7BtDIZimSG0L4Eo2pLkMHajE15tMuvw-pME6skVw3PpTf9pCUY9dMed_CAPyMZ09Y4voNfo8Pe6xvO3the9mfkawANLGeGuWWWvxoaFoBOSskFaJo7cddW5vcGnKF1tkijZDkf40L-7D4KvXxT6bZNhD6b49AMkqvx3A&__tn__=%2CO%2CP-R
pfbid027cEtz1TWHaD4FMNSW6WMS7q7mptMRDJAxnksmGa7EjvHSFdGcgvYckhCd1KUPXjYl,Gelato Messina,2,116,19,0,0,0,0,0,135,32,VINCE MAPLES - Maple syrup gelato with salted caramel swirls and dark choc chip cookies. please grab a sprite.,2023-10-14T13:51:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387752599_722269656608625_4163421578777272719_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=e7cJsbBLdggAX9vKtRL&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAKHAhB3wI5ylkRaKBn4F08z50bK9qvSLiDVTA4M7frOA&oe=6538E704,https://www.facebook.com/gelatomessina/posts/pfbid027cEtz1TWHaD4FMNSW6WMS7q7mptMRDJAxnksmGa7EjvHSFdGcgvYckhCd1KUPXjYl?__cft__[0]=AZVPDVzSQfHSq9T1k5v667-UPmInmo3An9wzsdtq3pMLxmSxMKCCxuGqgYvvWsmRw1hGvj3lgEXWH0uIO7fkC8pVSwoicoiKWtaG6TQNNgSOlvZFy8SN27fSMk42IX0WyG3ls6L7C3v1KRKaaCsxOiRyIyNAWD5ZFjEDEmrzwCrgKd5OU0nyG9Dne4XL_c4Ka0g_eD4OW9l1Sk6WAyHAJ_Io&__tn__=%2CO%2CP-R
pfbid0X5YZgFVJ1JkAZQYtRaozxt3nCP1nTr8zWn57otjWLwAFLARwu4vzg288qM3Zu1gKl,Gelato Messina,3,256,40,0,0,0,0,0,296,97,SELLEYS - Milk chocolate gelato with chocolate mud cake and caramel. fill ya gap with it.,2023-10-13T13:50:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387789999_722268936608697_3706062444247705254_n.jpg?stp=dst-jpg_p526x296&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=FKEoPat9mIgAX8YpGbS&_nc_ht=scontent.fsin16-1.fna&oh=00_AfDPOkUHvUB95hiTzotuidmupBjMwTR8Smx5lrkPNZKXLg&oe=65398CDC,https://www.facebook.com/gelatomessina/posts/pfbid0X5YZgFVJ1JkAZQYtRaozxt3nCP1nTr8zWn57otjWLwAFLARwu4vzg288qM3Zu1gKl?__cft__[0]=AZV2WzSW7Qf2cNkf3-Xd9-1FsJ_mwCSlhdMhK2Qs5MLmZra0DyRpUiYRBZV3pKN6ZRT6sBQpAbxkPkUmnS1C2gyaSsaXZdAgm9b-aFTt3c4HKpdbknfSWJjTlYrET-RvoaQZg6Jdmg9Pg2p4JvL6TP2D24wqKJNn5ak1rSF27XAy3tLqZh1nxJOj66dkKZDjoOqWcrwCagwyItX7FecdDo-v&__tn__=%2CO%2CP-R
pfbid02UKswyxoj8zdoAcw1yGBzRMXjBibYnFwyBySFt4iVipaxmtrKxGXdDjDLHNiosF2fl,Gelato Messina,1,19,8,0,0,0,0,0,27,6,we've teamed up with @foodforeveryone.aus artist @gemleslie to make two epic messina prints based on our dr. evil's magic mushroom & our pistachio praline!prints go on sale this monday via our website and will be super limited stock so if you've ever wanted to rep messina on your walls at home be sure to snap one up quick smart!a nice little bonus is that each print purchased provides 10 meals to @secondbiteorg - a charity which aims to feed those most in need  you can head to http://gelatomessina.com/.../food-for-everyone-x-messina... for more info @brettwalkerphotography,2023-10-13T12:40:00,[],https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387812102_18394984630014911_140662947016832508_n.jpg?stp=dst-jpg_p480x480&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=h8dDY66uXTIAX-Tw98m&_nc_oc=AQkhLpOWuUI9GJJRvyOSkFNZJwj2WjS2cNtrX7ahKoJ77RRgHageLBNJW1WXGPsPPmZFD25bGvsWC5Z2Z2ZJ_-E7&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBQFFg2EvtPQfJxUVvyG7_bm8SaPwsoC02quqVkqy8n6w&oe=6538FFE6 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387829105_18394984639014911_374590320647130669_n.jpg?stp=dst-jpg_p480x480&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=azCIEH4hfIgAX-vE5is&_nc_ht=scontent.fsin16-1.fna&oh=00_AfBKU7j8K-KIxAv3gzYfLz2ThAUmQPfZqUQ26TghGtl8jA&oe=653901E8 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387812346_18394984648014911_6838053951133946627_n.jpg?stp=dst-jpg_p480x480&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=dzOOpOTrMS8AX_ptfaP&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAXVSl4_pXkCHa12nA5IaxNmLp1ffBXFzaQB21rPkc-8w&oe=6539793D https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387812121_18394984657014911_8075138094969726571_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jGbpj1b-a_oAX8Qjixc&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAiJ4mGYUYUCrKro6d_YJp3Iopah509XyaoGUofRzaoMg&oe=653A0E77 https://scontent.fsin16-1.fna.fbcdn.net/v/t39.30808-6/387814408_18394984666014911_1008984221731191466_n.jpg?stp=dst-jpg_p480x480&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fJtSPv3ntVoAX9nrlcJ&_nc_ht=scontent.fsin16-1.fna&oh=00_AfAUwTqKLCdAM-ylUj9q1lR4tP0aeaRsJPMoNKJf0neAPQ&oe=653A0FE1,https://www.facebook.com/gelatomessina/posts/pfbid02UKswyxoj8zdoAcw1yGBzRMXjBibYnFwyBySFt4iVipaxmtrKxGXdDjDLHNiosF2fl?__cft__[0]=AZXNpBUydLvV_V8c8FvefuuppLqAobW9oG_fTAF6IoAQxjHrmLp85C3NRmLZfX2ULbHN2UptqnlZNXLPGAXGpvmoKYzqAdrVfXbz6SHvyPmhd812X8dwz1bXpzUXEuR46UJ1TnDeQfNGN1Yx-8qElxBBUzLeMK8GwyonzbO8ZVR4Ily0ETFHXjbBZZkAc7ll-TSmLGm-h6EXO4KJCAwtJoDy&__tn__=%2CO%2CP-R
