"NBa7we src","d4r55","RfnDt","RfnDt 2","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","wiI7pd","w8nwRe","dSlJg src","dSlJg src 2","znYl0","nM6d2c","DZSIDd","wiI7pd 2","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjU9uXZ25wrPDdXiO6qT1mZ0mr98E0E5C_T17FlGgtNfyXI=w54-h54-p-rp-mo-ba4-br100","Ken Chen","· 75 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 months ago","After our lunch at Fortune Center, we decided to explore Sunshine Plaza for desserts and stumbled upon your charming ice cream store. As we entered, we were immediately struck by the clean and well-decorated environment, creating a pleasant …","More","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","2 months ago","Wow Mr Chen, lucky indeed to host an experience husband and wife team travellers. Enjoyed reading your other food traveling reviews 👍 interesting indeed. 
We wants to Thank you for your Patronage and Appreciated your Time taken to Write and Share Freshio Gelato to the Foodie's community. 
Sure we Wishes You & Wife Good Health, Great Exploration and Happiness together.
God Bless A Good Couple
🥂🙏👍🙏🙏🙏",""
"https://lh3.googleusercontent.com/a-/ALV-UjWVhYnWxtmSp2z1HAkcIjZqMOtJ0GAonkXLnpffucz85A=w54-h54-p-rp-mo-ba3-br100","Paul Tey","· 20 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","a month ago","By far the best Gelato we had in Singapore.
Manage by an old frendly couple, they also provide sampling for all flavour. We tried some and I can say all tasted unique and tasty.
Their coffee are also very aromatic.","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","a month ago","Hi Paul, thank you so much for coming so faraway for our Freshio Gelato and we did very Happy indeed to gain your satisfaction and experience ❤️ Wishing you safe and happy travels, Appreciated 🧑‍🏭🤠🥂
🙏🙏🙏🍨🏆","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjXwhV_MDQKJcckFJH5HlmM6c4DcasIhhJGEhn_j3xNp59s=w54-h54-p-rp-mo-ba3-br100","Jay Lim","· 45 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","5 months ago","Third visit here today! Tried 6 different flavours since my first visit and really love the gelato here! Ice cream is not that sweet yet creamy and rich. Uncle is also very friendly, willing to let you try multiple flavours and was generous with the samples. Favourite is still the pistachio. Definitely deserving of the 5 stars 🙂 …","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","5 months ago","Hi Jay, thank you! Could remember you 🤠😄 Your support is overwhelming 🙏🙏🙏 Looking forward to your continuous support. 
Appreciated your patronage, time and review. 
Appreciated
🤠🧑‍🏭🙏🙏🙏",""
"https://lh3.googleusercontent.com/a/ACg8ocIbfX2n7bYYGO1SZjQqOwJ8GeAcmGvPqu3pJENCDspY=w54-h54-p-rp-mo-ba4-br100","Jet Waterbarrel","· 149 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 months ago","Really smooth and rich gelato. Uncle was super generous with sampling, full just from samples alone. He basically almost let us try all the flavours. We settled for chocolate, pistachio and rum and raisin. Prices were very competitive! …","More","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","2 months ago","Hi Jet, good timing 👍 when the Qs get long, just can't spare more times. People behind gets a bit agitated😊
Anyway, your day today. Thanks for coming with all your friends and appreciated your kind patronage and time. 
Kind regards,
🤠🧑‍🏭🙏🙏🙏👍","Like"
"https://lh3.googleusercontent.com/a/ACg8ocIWcKIBNXS2yUb0HVyILwHJRqXSSKBKRSN1GDIcGCvs=w54-h54-p-rp-mo-br100","Delia Yeo","7 reviews","","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","a month ago","Truly deserve the 5 star rating on google, Uncle was super generous in the portion, even gave us a free scoop of ice cream! The gelato was super yummy too, very creamy and freshly made. Would totally visit again in the future! Highly recommend!","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","a month ago","Oh Wow Delia, we are indeed very thankful to you for bringing so many friends over to support Freshio Gelato business. Kind encouraging words, patronage and taking time in writing us A full 5-Star Review 👍👍👍
We wish you All Success in Life, Happiness and Healthy throughout 🙏🙏🙏
🤠🧑‍🏭🥂",""
"https://lh3.googleusercontent.com/a-/ALV-UjW_4tkRdknexorpSRfe3mlDbiPmBo7sSJMGUxL0qiDoTIs=w54-h54-p-rp-mo-ba6-br100","Anton 999","· 341 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 weeks ago","We came here for some gelato after visiting an art exhibition nearby. It’s a cozy little place with a nice selection of gelato, waffles, and other goodies. Service is helpful and friendly, and the price is quite reasonable. You can also sample the flavors to find what you like before ordering. We really enjoyed it and would go back.","","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","3 weeks ago","Hi Anton, Wonderful! Hope you as a good time on the Night Walk at Bras Basah Areas with the National Day Celebration. Appreciated your Patronage and Time in writing us this 5-Star Review 👍🙏",""
"https://lh3.googleusercontent.com/a-/ALV-UjVCiUPaSTx-WkQDQ9sna5cj5qB6IkvgQGkqwBJO8s4jAA=w54-h54-p-rp-mo-ba5-br100","cava lulu","· 66 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","a month ago","A small little gelato shop with super friendly uncle. Kept offering me with samplings until I am ready to make my final decision. …","More","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","a month ago","Helo Lulu, Thank you for your 5-Star Review. Appreciated your patronage and time too. 
Hope to seeing you again,
🤠🧑‍🏭🍨🥂",""
"https://lh3.googleusercontent.com/a-/ALV-UjWdqpPTk0F_NJkdewyXH4nEPXV9iefQY3kDIBONSE1nYRE=w54-h54-p-rp-mo-ba3-br100","Hc egg","· 40 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 months ago","If I could give 10 stars for service, I would! 🌟

Uncle is super friendly and welcoming! We could not decide on which flavors to …","More","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","2 months ago","Wow Hc, thankful to your sincere 5-Star Review👍and patronage 🙏
We'll try to improve on our Waffle recipe. Looking forward to your next visit 🙏🙏🙏
🧑‍🏭🤠🥂",""
"https://lh3.googleusercontent.com/a-/ALV-UjV-UsVPvZfk6wYiPz4dcVLfSI5awB1wnCzdMk6UhGVfKCE=w54-h54-p-rp-mo-ba3-br100","angeline","· 19 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","3 months ago","came by to sunshine plaza for lunch with my colleagues and decided to have some gelato for dessert. it was indeed a great decision! …","More","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","3 months ago","Hey Hi Angeline, 😊😊😊paiseh ya, I don't meant to be pushy, but wanted customer to get their taste buds flavor during each visit. In hot weather, many goes for Fruity sorbet, especially Refreshing flavor like Limone, Watermelon and Passion Fruit flavor. At the same time, Uncle also recommended Best Seller like Turkish Hazelnut, Sicilian Pistachio and Dark Chocolate. 
We are also in Schools district, and we price affordably to students and office workers, as dessert are Treats. Unlike main meals are basic and priority, so it's just Desserts pricing. And we kept our costs low, working long hours, and provides affordable price with high quality Gelato. 😁🥂","Like"
"https://lh3.googleusercontent.com/a/ACg8ocIhToT1DPrYZWanvrsYbgWfAIiVb6jYXMZCd5qOyzeR=w54-h54-p-rp-mo-ba4-br100","Adrian Chueng","· 32 reviews","Local Guide","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 months ago","We’ve been to their shop when they started at CityGate. After they relocated here, here we are! And the uncle is still so friendly to recommend all the different flavours of his special made gelatos! Pancake flavours, croissant flavours… …","More","https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png","Share","Response from the owner","2 months ago","Oh Hi Dearest Adrian, so very happy to see you and your family again! Wonderful, healthy children growing up fast. 
Wanted to Thank you so much in taking time to visit and patronage, from Citygate to Sunshine Plaza. 
Appreciated your time in writing us A 5-Star Review and Support. 
Wishing You & Family, Well, Healthy & Safe Always. 
Kind regards,
🤠🧑‍🏭🙏🙏🙏🥂","Like"
