"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"We’re ever so grateful to see all your faces come by our little store to get a scoop as we count down the last few days we’ll be at Our Tampines Hub 💙 T-5 days now. Come down if you can, we’d love to serve you one last time.","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtbwwTJSkr5/","0","","170","2023-06-13T14:23:44.000Z",
"Goodbye 👋🏼 

In a month’s time, we will be serving our final scoops at our OG outlet. 

Swing by, eat some ice cream and bid your farewells. You will be dearly missed.","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CwT3YOBSTYI/","19","Why are you closing!","240","2023-08-24T02:21:52.000Z",
"LAST HURRAH SUNDAYS @Merely
ON 17 & 24 SEPTEMBER, 12-6PM

Join us for a Last Hurrah @Merely on September 17th and 24th at two special pop up collabs with our friends. Bid farewell in cheers and happy bellies!

On September 17th - 
Get crafty and join @laughandbelly at her “Sew-A-Pin Workshop” at only $58 with all materials included. Psst.. she'll also be selling her creations and they are the cutest, for more details do head over to her IG. When feeling peckish, we have @bread.buttersg's delectable croissants that’s flakey and so buttery. Their croissants are the perfect vessels for a scoop of Salted Butterscotch, a special ice cream croissant sandwich you don’t want to miss out on! Last but not least, enjoy local flavors and have our Coconut or Pulut Hitam ice cream with @olsenbakehouse's Pandan chiffon cake.

On September 24th - 
Join us for our final scoops and lots of fun awaits. Kids will have a ball of a time as they create ice cream using non-toxic playdough under the guidance of sensory play specialist @tickleyoursenses. Build your own Merely memory box with @mailofcities as she draws your portraits, thoughtfully put together in a unique backdrop. Silkscreen your own ice cream t-shirt with @lyyeow and bring home a piece of Merely with summer vibes. Seek for an oracle reading with @lari.tarot and may she be your guide to all the best things in life! 

Come with an empty belly to fill it up with goodness! @oishiiferments offers a choco cheese banana sourdough loaf and we can load it with an extra scoop of Valrhona Chocolate. 
Don't miss out on @nglitying's bakes, always full of stories and we can’t wait for the surprise bake coming to you at the Pop Up. And lastly, always wash all the good food down with a really good drink. @eccommune will be serving their signature, you are in for a treat with a cuppa Matcha or Chai Latte. Or, choose to make it a Chaiffogato! 

See you soon, at Merely’s ONE LAST HURRAH!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CwyuauIymVr/","7","what time will you be open til on sunday!!","203","2023-09-05T02:00:00.000Z",
"While we’re still processing and waiting for when the last day of Merely Sunshine will be, it is with deep sadness to share that Merely at Our Tampines Hub will be closing for good on 18 June Sunday.

When it rains it pours. We had wished to remain and continue serving our customers in the East, but was informed a few days ago that we lost on the public tender to renew our lease.

It’s been our honour to scoop and serve balls of happiness to you the past 11 years. Your patronage, kind words, and enthusiasm has been everything that has kept us going. 

Till the last day of Merely Sunshine is firmed up. We guess this is probably Thank you and Goodbye. 

So thank you, each and every one of you, from the bottom of our hearts. Maybe till the next time then? 🍦","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtRmWx6SKa9/","84",":(((((","544","2023-06-09T15:40:27.000Z",
"All good things come to an end. We’re reminiscing all the good times at Sunshine, and of course a big part of that is Merely’s resident meow, Socks! Swipe to read her story, and come down to check out @lyyeow’s final window installation for us ❤️🐈‍⬛ See you soon!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CrCtsNMyeLg/","5","just heard that you are closing n i’m so sad! 😔 thank you for the ice cream and being merely ♥️ wishing you all the best for whatever you do next 🫶","308","2023-04-15T03:53:09.000Z",
"🍦Merely Good Times 🍦

As we countdown to our closure at Sunshine Plaza, we also want to remember all the good times shared together. Introducing a limited edition Merely Good Times tote bag, illustrated by @lyyeow.  If you are familiar with our stories, you may know of Socks, a stray cat living her days in the drain most days, and other times meowing at our storefront asking for food. She was eventually adopted by our bossman. 

Comes in 2 sizes, small for kiddos and bigger to fit more ice cream! 

Merely Sunshine may be closing, but the good times are with you forever! Take home a little piece of us to keep close to your heart always. 🫶

OR, you can buy 4 pints from our webstore or Sunshine Plaza outlet and receive a small tote FREE. For those of you who cannot have enough of Merely’s and would like to share the happy scoops! 

Visit shop.merely.com.sg or shop in-store at our Sunshine Plaza outlet!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/Cs7g2b2SSeq/","0","","114","2023-06-01T01:49:03.000Z",
"So this is goodbye! 

Goodbye friends, it's our last week at Our Tampines Hub. It has been our pleasure to scoop happyness for you all these years. We wish that we could continue doing that, but alas we have to go. 

Last day is this coming Sunday! With friends and family, swing by for your fill!","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtYL0-3SqIc/","10","💛🥺","195","2023-06-12T05:03:20.000Z",
"Thank you, Tampines. It has been a wonderful six-year journey.

We will always cherish the support you have shown us, particularly during the challenging times of the Covid-19 pandemic, and how you all rallied around us after hearing about our imminent closure.

It has been our utmost pleasure to serve you happy food.

Farewell! 👋🏼","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CtsZ9OjM7G0/","11","💔😥 nooooooooo","272","2023-06-20T01:32:13.000Z",
"We love that so many memories were made and shared at Sunshine and that it holds a special place place in your hearts too 🧡😢 keep the tags coming, we’re not crying, you’re crying!

〰️
#merelyicecream #icecreamlovers #sgcafe #sgeats #sgfoodies","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CqcFxjnuuce/","2","Will there be an online shop :(","93","2023-03-31T03:58:40.000Z",
"🌟BUY 2 AND GET 1 FREE🌟
Chase those rainy day blues ☔️🌈 away with our awesome tea time deal available 𝗠𝗼𝗻𝗱𝗮𝘆 𝘁𝗼 𝗙𝗿𝗶𝗱𝗮𝘆, 𝟯-𝟲𝗽𝗺! Just buy 2 single scoops in cups and get 1 free*!

*free scoop applies to the lowest priced item","Merely Ice Cream","merelyicecream","https://www.instagram.com/p/CpUHa8FujZV/","0","","-1","2023-03-03T05:04:37.000Z",
